_id;consumer_id;local_unregistered_date;unregistered_date;unregistered
589e3e55c8045540ffbe8e28;589e3e55c8045540ffbe8e28;2020-03-26 00:15:22;2020-03-25 23:15:22;1
5a6dfa3037f5b000072b14ad;5a6dfa3037f5b000072b14ad;2020-03-26 00:16:23;2020-03-25 23:16:23;1
5a619d7c26b6a60007683b2c;5a619d7c26b6a60007683b2c;2020-03-26 00:16:22;2020-03-25 23:16:22;1
5b0511ef32d0aa0007992432;5b0511ef32d0aa0007992432;2020-03-26 00:16:32;2020-03-25 23:16:32;1
5bf5182e9ec51e00079a44fe;5bf5182e9ec51e00079a44fe;2020-03-26 00:16:48;2020-03-25 23:16:48;1
5c1fba72b16dd60007f8bdc0;5c1fba72b16dd60007f8bdc0;2020-03-26 00:16:50;2020-03-25 23:16:50;1
5bfd436ed05cdd0007387e48;5bfd436ed05cdd0007387e48;2020-03-26 00:16:49;2020-03-25 23:16:49;1
5b5ebca3c3cedb00079f32fe;5b5ebca3c3cedb00079f32fe;2020-03-26 00:16:39;2020-03-25 23:16:39;1
5c1b866cb16dd60009e1c9fb;5c1b866cb16dd60009e1c9fb;2020-03-26 00:16:49;2020-03-25 23:16:49;1
5b84bafb2608a900084654c5;5b84bafb2608a900084654c5;2020-03-26 00:16:42;2020-03-25 23:16:42;1
5b8cece72608a90007e4b7dd;5b8cece72608a90007e4b7dd;2020-03-26 00:16:43;2020-03-25 23:16:43;1
580b5f74c80455478805f0da;580b5f74c80455478805f0da;2020-03-26 00:14:55;2020-03-25 23:14:55;1
5981bb8bb37077000b89be60;5981bb8bb37077000b89be60;2020-03-26 00:16:04;2020-03-25 23:16:04;1
59cb46645198cc000af3b1af;59cb46645198cc000af3b1af;2020-03-26 00:16:08;2020-03-25 23:16:08;1
5a44fb137e326a000771b8c5;5a44fb137e326a000771b8c5;2020-03-26 00:16:17;2020-03-25 23:16:17;1
5a7017aa37f5b000072b4ba1;5a7017aa37f5b000072b4ba1;2020-03-26 00:16:23;2020-03-25 23:16:23;1
5a9fd3369bc577000827dae7;5a9fd3369bc577000827dae7;2020-03-26 00:16:25;2020-03-25 23:16:25;1
5b2bdf388105c600075b19fc;5b2bdf388105c600075b19fc;2020-03-26 00:16:38;2020-03-25 23:16:38;1
5b71c11e9544770007c28282;5b71c11e9544770007c28282;2020-03-26 00:16:41;2020-03-25 23:16:41;1
5b130c8b8cabcc00091fd22c;5b130c8b8cabcc00091fd22c;2020-03-26 00:16:34;2020-03-25 23:16:34;1
5b28a4c78105c600075aef91;5b28a4c78105c600075aef91;2020-03-26 00:16:37;2020-03-25 23:16:37;1
5c7eb0fbc9ce2900070d0669;5c7eb0fbc9ce2900070d0669;2020-03-26 00:16:55;2020-03-25 23:16:55;1
5b2d01048105c600075b27ac;5b2d01048105c600075b27ac;2020-03-26 00:16:38;2020-03-25 23:16:38;1
5bfee9041755480007f074ef;5bfee9041755480007f074ef;2020-03-26 00:16:49;2020-03-25 23:16:49;1
5b8460a0d1c68b0007d4560d;5b8460a0d1c68b0007d4560d;2020-03-26 00:16:42;2020-03-25 23:16:42;1
5b4672a51f3ff60007ebd3c8;5b4672a51f3ff60007ebd3c8;2020-03-26 00:16:38;2020-03-25 23:16:38;1
5bed544421cb9f00078a7e58;5bed544421cb9f00078a7e58;2020-03-26 00:16:47;2020-03-25 23:16:47;1
5a1fe9fb24d8fa000766619d;5a1fe9fb24d8fa000766619d;2020-03-26 00:16:15;2020-03-25 23:16:15;1
5b1fd7822642a80007ce29bb;5b1fd7822642a80007ce29bb;2020-03-26 00:16:35;2020-03-25 23:16:35;1
5b747bb0c6948300079e109d;5b747bb0c6948300079e109d;2020-03-26 00:16:40;2020-03-25 23:16:40;1
5b7fab9d2608a9000797ba3d;5b7fab9d2608a9000797ba3d;2020-03-26 00:16:42;2020-03-25 23:16:42;1
5b22345d297c4e0007b4ab5e;5b22345d297c4e0007b4ab5e;2020-03-26 00:16:35;2020-03-25 23:16:35;1
5bbcfc6d4b3eb100073e11d5;5bbcfc6d4b3eb100073e11d5;2020-03-26 00:16:46;2020-03-25 23:16:46;1
5b348086ba408000070945b0;5b348086ba408000070945b0;2020-03-26 00:16:37;2020-03-25 23:16:37;1
